Time(Local),Production,Consumption
31.12.2022 23:00:00 +01:00,10671.29,15793.08
01.01.2023 00:00:00 +01:00,10698.73,15975.39
01.01.2023 01:00:00 +01:00,10061.39,16015.34
01.01.2023 02:00:00 +01:00,9113.91,15899.51
01.01.2023 03:00:00 +01:00,8651.85,15825.78
01.01.2023 04:00:00 +01:00,8531.30,15779.98
01.01.2023 05:00:00 +01:00,8450.75,15877.71
01.01.2023 06:00:00 +01:00,8594.02,16079.78
01.01.2023 07:00:00 +01:00,8862.49,16289.09
01.01.2023 08:00:00 +01:00,8992.21,16532.05
01.01.2023 09:00:00 +01:00,9713.28,16847.98
01.01.2023 10:00:00 +01:00,10108.81,17256.36
01.01.2023 11:00:00 +01:00,10919.03,17522.26
01.01.2023 12:00:00 +01:00,11460.61,17599.91
01.01.2023 13:00:00 +01:00,11782.10,17647.08
01.01.2023 14:00:00 +01:00,11709.24,17727.09
01.01.2023 15:00:00 +01:00,12843.64,18221.73
01.01.2023 16:00:00 +01:00,14707.07,18607.94
01.01.2023 17:00:00 +01:00,14784.06,18730.49
01.01.2023 18:00:00 +01:00,14379.49,18681.23
01.01.2023 19:00:00 +01:00,14397.66,18586.33
01.01.2023 20:00:00 +01:00,14295.60,18392.39
01.01.2023 21:00:00 +01:00,14196.40,18222.05
01.01.2023 22:00:00 +01:00,13802.81,17954.98
01.01.2023 23:00:00 +01:00,13411.94,17559.68
02.01.2023 00:00:00 +01:00,13391.96,17185.89
02.01.2023 01:00:00 +01:00,13017.48,16888.77
02.01.2023 02:00:00 +01:00,12620.71,16801.91
02.01.2023 03:00:00 +01:00,12603.59,16754.02
02.01.2023 04:00:00 +01:00,12922.78,16779.12
02.01.2023 05:00:00 +01:00,13053.68,17133.80
02.01.2023 06:00:00 +01:00,14424.11,18158.63
02.01.2023 07:00:00 +01:00,17589.21,19338.08
02.01.2023 08:00:00 +01:00,18775.60,19718.35
02.01.2023 09:00:00 +01:00,19091.62,19861.69
02.01.2023 10:00:00 +01:00,18800.60,19934.83
02.01.2023 11:00:00 +01:00,19908.81,19944.76
02.01.2023 12:00:00 +01:00,20517.39,19961.66
02.01.2023 13:00:00 +01:00,19799.68,20004.94
02.01.2023 14:00:00 +01:00,20016.67,19900.83
02.01.2023 15:00:00 +01:00,20780.25,20022.05
02.01.2023 16:00:00 +01:00,21333.65,20158.96
02.01.2023 17:00:00 +01:00,21697.75,19978.71
02.01.2023 18:00:00 +01:00,22020.21,19741.35
02.01.2023 19:00:00 +01:00,21322.68,19542.08
02.01.2023 20:00:00 +01:00,20209.86,19334.40
02.01.2023 21:00:00 +01:00,18708.63,19112.81
02.01.2023 22:00:00 +01:00,17589.52,18771.95
02.01.2023 23:00:00 +01:00,16366.45,18228.51
03.01.2023 00:00:00 +01:00,15889.70,17725.91
03.01.2023 01:00:00 +01:00,14644.72,17395.30
03.01.2023 02:00:00 +01:00,14249.81,17252.26
03.01.2023 03:00:00 +01:00,13706.43,17201.87
03.01.2023 04:00:00 +01:00,13761.09,17178.82
03.01.2023 05:00:00 +01:00,14971.86,17534.29
03.01.2023 06:00:00 +01:00,17803.59,18610.22
03.01.2023 07:00:00 +01:00,20765.12,19718.58
03.01.2023 08:00:00 +01:00,21302.93,20167.80
03.01.2023 09:00:00 +01:00,21273.83,20226.66
03.01.2023 10:00:00 +01:00,21505.03,19849.23
03.01.2023 11:00:00 +01:00,21373.96,20005.09
03.01.2023 12:00:00 +01:00,20950.13,19941.63
03.01.2023 13:00:00 +01:00,21379.46,20018.45
03.01.2023 14:00:00 +01:00,22441.33,20039.35
03.01.2023 15:00:00 +01:00,22872.51,20219.56
03.01.2023 16:00:00 +01:00,23422.22,20450.76
03.01.2023 17:00:00 +01:00,24248.85,20333.20
03.01.2023 18:00:00 +01:00,23794.72,20145.78
03.01.2023 19:00:00 +01:00,22633.40,19974.41
03.01.2023 20:00:00 +01:00,21155.70,19838.14
03.01.2023 21:00:00 +01:00,19377.22,19703.40
03.01.2023 22:00:00 +01:00,17627.19,19261.93
03.01.2023 23:00:00 +01:00,15999.06,18750.60
04.01.2023 00:00:00 +01:00,14999.14,18182.28
04.01.2023 01:00:00 +01:00,14291.25,17921.58
04.01.2023 02:00:00 +01:00,13649.20,17816.98
04.01.2023 03:00:00 +01:00,13497.27,17790.12
04.01.2023 04:00:00 +01:00,13582.79,17778.91
04.01.2023 05:00:00 +01:00,13729.25,17999.11
04.01.2023 06:00:00 +01:00,15198.62,18922.90
04.01.2023 07:00:00 +01:00,17614.10,20163.23
04.01.2023 08:00:00 +01:00,18280.76,20575.55
04.01.2023 09:00:00 +01:00,19179.83,20604.32
04.01.2023 10:00:00 +01:00,19615.90,20541.03
04.01.2023 11:00:00 +01:00,19295.29,20520.49
04.01.2023 12:00:00 +01:00,19290.12,20507.64
04.01.2023 13:00:00 +01:00,19733.45,20466.04
04.01.2023 14:00:00 +01:00,19339.93,20472.18
04.01.2023 15:00:00 +01:00,19108.44,20563.56
04.01.2023 16:00:00 +01:00,19191.62,20705.21
04.01.2023 17:00:00 +01:00,19331.41,20523.66
04.01.2023 18:00:00 +01:00,19077.07,20238.42
04.01.2023 19:00:00 +01:00,18552.32,20016.47
04.01.2023 20:00:00 +01:00,18075.52,19834.98
04.01.2023 21:00:00 +01:00,17389.10,19487.36
04.01.2023 22:00:00 +01:00,16380.87,18964.83
04.01.2023 23:00:00 +01:00,14540.49,18432.58
05.01.2023 00:00:00 +01:00,13630.29,17937.93
05.01.2023 01:00:00 +01:00,13395.02,17621.27
05.01.2023 02:00:00 +01:00,13094.42,17489.78
05.01.2023 03:00:00 +01:00,12830.15,17396.16
05.01.2023 04:00:00 +01:00,12976.26,17410.39
05.01.2023 05:00:00 +01:00,13944.46,17738.32
05.01.2023 06:00:00 +01:00,16117.47,18775.03
05.01.2023 07:00:00 +01:00,18943.19,20055.33
05.01.2023 08:00:00 +01:00,20343.54,20508.25
05.01.2023 09:00:00 +01:00,21769.39,20486.43
05.01.2023 10:00:00 +01:00,22505.48,20062.73
05.01.2023 11:00:00 +01:00,23248.65,20222.05
05.01.2023 12:00:00 +01:00,23123.71,20176.99
05.01.2023 13:00:00 +01:00,23064.39,20154.39
05.01.2023 14:00:00 +01:00,23754.40,20146.39
05.01.2023 15:00:00 +01:00,24879.27,20255.19
05.01.2023 16:00:00 +01:00,25298.55,20391.86
05.01.2023 17:00:00 +01:00,25270.76,20218.81
05.01.2023 18:00:00 +01:00,25221.65,19933.14
05.01.2023 19:00:00 +01:00,25224.31,19704.42
05.01.2023 20:00:00 +01:00,24747.77,19492.06
05.01.2023 21:00:00 +01:00,23794.16,19295.22
05.01.2023 22:00:00 +01:00,22653.90,18954.90
05.01.2023 23:00:00 +01:00,19624.94,18421.74
06.01.2023 00:00:00 +01:00,17528.55,17879.46
06.01.2023 01:00:00 +01:00,16165.51,17578.20
06.01.2023 02:00:00 +01:00,15197.02,17453.58
06.01.2023 03:00:00 +01:00,14410.35,17413.08
06.01.2023 04:00:00 +01:00,14281.44,17450.45
06.01.2023 05:00:00 +01:00,14412.33,17837.65
06.01.2023 06:00:00 +01:00,16013.45,18864.33
06.01.2023 07:00:00 +01:00,18253.68,20138.07
06.01.2023 08:00:00 +01:00,20588.35,20652.33
06.01.2023 09:00:00 +01:00,20424.70,20646.25
06.01.2023 10:00:00 +01:00,20156.91,20634.35
06.01.2023 11:00:00 +01:00,20333.39,20486.57
06.01.2023 12:00:00 +01:00,20481.86,20442.29
06.01.2023 13:00:00 +01:00,19812.10,20360.12
06.01.2023 14:00:00 +01:00,21044.17,20288.39
06.01.2023 15:00:00 +01:00,22444.04,20279.39
06.01.2023 16:00:00 +01:00,23220.63,20264.61
06.01.2023 17:00:00 +01:00,23866.64,19917.33
06.01.2023 18:00:00 +01:00,23592.15,19605.48
06.01.2023 19:00:00 +01:00,22951.25,19332.22
06.01.2023 20:00:00 +01:00,21546.97,19009.96
06.01.2023 21:00:00 +01:00,21056.37,18587.50
06.01.2023 22:00:00 +01:00,20533.11,18155.60
06.01.2023 23:00:00 +01:00,18941.21,17654.55
07.01.2023 00:00:00 +01:00,16461.94,17236.99
07.01.2023 01:00:00 +01:00,14649.09,16956.18
07.01.2023 02:00:00 +01:00,13888.13,16734.00
07.01.2023 03:00:00 +01:00,13108.98,16580.90
07.01.2023 04:00:00 +01:00,13023.97,16522.18
07.01.2023 05:00:00 +01:00,13141.87,16503.92
07.01.2023 06:00:00 +01:00,13752.00,16696.98
07.01.2023 07:00:00 +01:00,15551.48,16972.47
07.01.2023 08:00:00 +01:00,16337.79,17463.85
07.01.2023 09:00:00 +01:00,16963.12,17906.87
07.01.2023 10:00:00 +01:00,16784.23,18328.04
07.01.2023 11:00:00 +01:00,16320.21,18506.97
07.01.2023 12:00:00 +01:00,16205.16,18505.68
07.01.2023 13:00:00 +01:00,15975.89,18490.27
07.01.2023 14:00:00 +01:00,16344.24,18487.65
07.01.2023 15:00:00 +01:00,16851.47,18570.06
07.01.2023 16:00:00 +01:00,17543.81,18800.68
07.01.2023 17:00:00 +01:00,17827.49,18779.37
07.01.2023 18:00:00 +01:00,18195.87,18563.77
07.01.2023 19:00:00 +01:00,17081.11,18186.25
07.01.2023 20:00:00 +01:00,15402.47,17694.29
07.01.2023 21:00:00 +01:00,13917.55,17234.19
07.01.2023 22:00:00 +01:00,12637.19,16885.50
07.01.2023 23:00:00 +01:00,11721.31,16642.53
08.01.2023 00:00:00 +01:00,10627.93,16292.64
08.01.2023 01:00:00 +01:00,10322.84,16059.75
08.01.2023 02:00:00 +01:00,10242.50,15774.43
08.01.2023 03:00:00 +01:00,10010.75,15711.80
08.01.2023 04:00:00 +01:00,10146.38,15569.44
08.01.2023 05:00:00 +01:00,10278.20,15480.72
08.01.2023 06:00:00 +01:00,10358.33,15596.81
08.01.2023 07:00:00 +01:00,10322.61,15756.97
08.01.2023 08:00:00 +01:00,11568.05,16009.53
08.01.2023 09:00:00 +01:00,13710.50,16359.28
08.01.2023 10:00:00 +01:00,15871.56,16696.72
08.01.2023 11:00:00 +01:00,16862.77,16888.20
08.01.2023 12:00:00 +01:00,16955.97,16989.34
08.01.2023 13:00:00 +01:00,17018.21,16995.90
08.01.2023 14:00:00 +01:00,17408.28,17098.31
08.01.2023 15:00:00 +01:00,17540.31,17276.91
08.01.2023 16:00:00 +01:00,18977.99,17503.45
08.01.2023 17:00:00 +01:00,19974.62,17398.91
08.01.2023 18:00:00 +01:00,19527.00,17341.24
08.01.2023 19:00:00 +01:00,18677.49,17223.36
08.01.2023 20:00:00 +01:00,17839.71,17067.43
08.01.2023 21:00:00 +01:00,17435.01,16873.73
08.01.2023 22:00:00 +01:00,17387.17,16489.76
08.01.2023 23:00:00 +01:00,15285.35,16026.92
09.01.2023 00:00:00 +01:00,13402.92,15622.00
09.01.2023 01:00:00 +01:00,12162.13,15311.42
09.01.2023 02:00:00 +01:00,11247.68,15144.93
09.01.2023 03:00:00 +01:00,10604.17,15129.05
09.01.2023 04:00:00 +01:00,11261.97,15165.47
09.01.2023 05:00:00 +01:00,13812.05,15517.08
09.01.2023 06:00:00 +01:00,17708.83,16644.75
09.01.2023 07:00:00 +01:00,21945.89,17955.78
09.01.2023 08:00:00 +01:00,23634.60,18299.09
09.01.2023 09:00:00 +01:00,24051.72,18240.42
09.01.2023 10:00:00 +01:00,23876.14,18189.61
09.01.2023 11:00:00 +01:00,24167.08,18159.45
09.01.2023 12:00:00 +01:00,23394.46,18161.18
09.01.2023 13:00:00 +01:00,23225.01,18120.30
09.01.2023 14:00:00 +01:00,24122.87,18114.48
09.01.2023 15:00:00 +01:00,24308.26,18255.64
09.01.2023 16:00:00 +01:00,24725.90,18437.67
09.01.2023 17:00:00 +01:00,25233.59,18298.49
09.01.2023 18:00:00 +01:00,25034.16,17967.10
09.01.2023 19:00:00 +01:00,24375.36,17807.73
09.01.2023 20:00:00 +01:00,23766.90,17647.19
09.01.2023 21:00:00 +01:00,22381.49,17398.99
09.01.2023 22:00:00 +01:00,20781.13,16937.42
09.01.2023 23:00:00 +01:00,17995.56,16382.93
10.01.2023 00:00:00 +01:00,16382.18,15834.16
10.01.2023 01:00:00 +01:00,14654.24,15548.52
10.01.2023 02:00:00 +01:00,14479.40,15347.51
10.01.2023 03:00:00 +01:00,14184.11,15306.08
10.01.2023 04:00:00 +01:00,14369.62,15270.30
10.01.2023 05:00:00 +01:00,16686.37,15571.25
10.01.2023 06:00:00 +01:00,20776.49,16721.95
10.01.2023 07:00:00 +01:00,23489.95,17984.11
10.01.2023 08:00:00 +01:00,24041.64,18438.08
10.01.2023 09:00:00 +01:00,23753.71,18306.83
10.01.2023 10:00:00 +01:00,23724.13,17932.55
10.01.2023 11:00:00 +01:00,22700.47,18127.40
10.01.2023 12:00:00 +01:00,21887.17,18026.96
10.01.2023 13:00:00 +01:00,21830.60,18092.57
10.01.2023 14:00:00 +01:00,22206.38,18122.42
10.01.2023 15:00:00 +01:00,22931.02,18285.21
10.01.2023 16:00:00 +01:00,23213.87,18554.61
10.01.2023 17:00:00 +01:00,23223.78,18432.60
10.01.2023 18:00:00 +01:00,21806.82,18284.78
10.01.2023 19:00:00 +01:00,19713.93,18047.73
10.01.2023 20:00:00 +01:00,17317.47,17851.92
10.01.2023 21:00:00 +01:00,15664.87,17533.25
10.01.2023 22:00:00 +01:00,14003.05,17112.27
10.01.2023 23:00:00 +01:00,12341.67,16628.01
11.01.2023 00:00:00 +01:00,11439.47,16111.40
11.01.2023 01:00:00 +01:00,10596.34,15727.92
11.01.2023 02:00:00 +01:00,9950.32,15541.23
11.01.2023 03:00:00 +01:00,9810.24,15474.56
11.01.2023 04:00:00 +01:00,9662.85,15475.62
11.01.2023 05:00:00 +01:00,10969.40,15768.15
11.01.2023 06:00:00 +01:00,13671.46,16709.65
11.01.2023 07:00:00 +01:00,17327.51,17909.38
11.01.2023 08:00:00 +01:00,19817.02,18212.66
11.01.2023 09:00:00 +01:00,20834.79,18124.50
11.01.2023 10:00:00 +01:00,20870.11,18004.06
11.01.2023 11:00:00 +01:00,19754.96,17865.83
11.01.2023 12:00:00 +01:00,18204.87,17478.84
11.01.2023 13:00:00 +01:00,17338.43,17415.47
11.01.2023 14:00:00 +01:00,17728.34,17445.11
11.01.2023 15:00:00 +01:00,18251.17,17628.79
