Latitude (decimal degrees):	58.617
Longitude (decimal degrees):	5.648
Elevation (m):	44
Radiation database:	PVGIS-SARAH3


Slope: 43 deg. (optimum)
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20220101:0011,0.0,0.0,5.65,2.97,0.0
20220101:0111,0.0,0.0,5.71,2.69,0.0
20220101:0211,0.0,0.0,5.54,2.34,0.0
20220101:0311,0.0,0.0,5.41,2.0,0.0
20220101:0411,0.0,0.0,4.77,1.45,0.0
20220101:0511,0.0,0.0,4.26,2.0,0.0
20220101:0611,0.0,0.0,4.27,2.97,0.0
20220101:0711,0.0,0.0,4.08,3.03,0.0
20220101:0811,0.0,0.0,4.37,4.41,0.0
20220101:0911,2.68,2.71,4.46,6.62,0.0
20220101:1011,7.14,6.29,4.05,7.86,0.0
20220101:1111,24.1,8.14,3.99,7.72,0.0
20220101:1211,8.92,8.13,4.16,8.07,0.0
20220101:1311,8.03,6.24,4.32,8.83,0.0
20220101:1411,1.78,2.63,4.36,9.52,0.0
20220101:1511,0.0,0.0,4.4,8.97,0.0
20220101:1611,0.0,0.0,4.34,9.1,0.0
20220101:1711,0.0,0.0,4.18,8.83,0.0
20220101:1811,0.0,0.0,3.98,8.07,0.0
20220101:1911,0.0,0.0,5.15,6.34,0.0
20220101:2011,0.0,0.0,5.47,5.24,0.0
20220101:2111,0.0,0.0,5.77,4.41,0.0
20220101:2211,0.0,0.0,6.12,4.14,0.0
20220101:2311,0.0,0.0,6.67,4.21,0.0
20220102:0011,0.0,0.0,7.05,4.48,0.0
20220102:0111,0.0,0.0,6.88,4.83,0.0
20220102:0211,0.0,0.0,7.24,5.38,0.0
20220102:0311,0.0,0.0,6.94,6.21,0.0
20220102:0411,0.0,0.0,7.29,5.93,0.0
20220102:0511,0.0,0.0,7.07,5.17,0.0
20220102:0611,0.0,0.0,7.02,4.55,0.0
20220102:0711,0.0,0.0,6.71,3.79,0.0
20220102:0811,0.0,0.0,6.59,3.59,0.0
20220102:0911,52.93,2.76,6.38,3.17,0.0
20220102:1011,260.2,6.35,6.33,3.1,0.0
20220102:1111,216.22,8.22,6.41,3.66,0.0
20220102:1211,214.81,8.22,6.48,4.07,0.0
20220102:1311,66.5,6.35,6.44,4.21,0.0
20220102:1411,1.78,2.75,6.4,3.66,0.0
20220102:1511,0.0,0.0,6.31,3.93,0.0
20220102:1611,0.0,0.0,6.26,4.48,0.0
20220102:1711,0.0,0.0,6.25,4.34,0.0
20220102:1811,0.0,0.0,6.12,4.76,0.0
20220102:1911,0.0,0.0,5.84,4.69,0.0
20220102:2011,0.0,0.0,5.88,4.34,0.0
20220102:2111,0.0,0.0,5.9,4.76,0.0
20220102:2211,0.0,0.0,5.69,4.83,0.0
20220102:2311,0.0,0.0,5.87,4.9,0.0
20220103:0011,0.0,0.0,6.09,4.62,0.0
20220103:0111,0.0,0.0,6.14,4.76,0.0
20220103:0211,0.0,0.0,5.93,4.97,0.0
20220103:0311,0.0,0.0,5.87,5.31,0.0
20220103:0411,0.0,0.0,5.99,5.59,0.0
20220103:0511,0.0,0.0,6.14,6.0,0.0
20220103:0611,0.0,0.0,5.95,6.62,0.0
20220103:0711,0.0,0.0,6.33,7.38,0.0
20220103:0811,0.0,0.0,6.07,7.31,0.0
20220103:0911,6.25,2.81,6.05,7.24,0.0
20220103:1011,16.06,6.43,6.14,7.38,0.0
20220103:1111,334.72,8.31,5.65,6.9,0.0
20220103:1211,111.02,8.32,5.17,6.48,0.0
20220103:1311,13.39,6.46,4.09,6.83,0.0
20220103:1411,1.78,2.87,2.93,7.03,0.0
20220103:1511,0.0,0.0,2.47,6.62,0.0
20220103:1611,0.0,0.0,1.98,7.03,0.0
20220103:1711,0.0,0.0,1.73,6.83,0.0
20220103:1811,0.0,0.0,2.03,6.34,0.0
20220103:1911,0.0,0.0,2.15,6.34,0.0
20220103:2011,0.0,0.0,2.41,6.76,0.0
20220103:2111,0.0,0.0,2.65,7.17,0.0
20220103:2211,0.0,0.0,2.92,7.24,0.0
20220103:2311,0.0,0.0,3.18,7.45,0.0
20220104:0011,0.0,0.0,2.77,7.79,0.0
20220104:0111,0.0,0.0,3.07,7.86,0.0
20220104:0211,0.0,0.0,3.31,8.0,0.0
