,Maksimal last,Minimal last,Standardavik
januar,23414.45,16044.31,1600.759720377241
februar,22580.13,15787.15,1369.2444702161988
mars,21388.71,14062.85,1128.4678851769363
april,18677.24,12629.49,1007.8160809863127
mai,16529.73,11672.24,894.8268185377386
juni,14514.56,10424.07,846.0952821574388
juli,13918.77,8132.75,749.7471360287819
august,15308.68,10493.05,935.7480081561318
september,16173.05,11207.17,1048.1254648379986
oktober,18782.19,11980.32,1345.388640029288
november,22193.98,13137.72,2025.7754653868126
desember,21598.76,14775.15,1399.10787834843
